distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(24.293, 24.694]",6.485219123065894e-07,3.2816567867800064e-07,1.0282979275289603e-11,4.171591576367353e-12,0.001732850549683207,0.0008768586934276177
"(24.694, 25.083]",6.371209514706336e-07,3.259408316414893e-07,9.493995943880867e-12,1.632935596862657e-12,0.0017036614242324744,0.0008715657838093424
"(25.083, 25.48]",5.276429913075436e-07,3.6481194661890417e-07,9.51147890440349e-12,2.8424031454458007e-12,0.0014098620727737566,0.0009747775213657119
"(25.48, 25.903]",6.889606411469148e-07,3.196727387253068e-07,1.281280708761129e-11,4.143325140984273e-12,0.0018422807544268504,0.0008548049033514703
"(25.903, 26.307]",5.159876559668861e-07,2.717106172555277e-07,9.099322735035383e-12,3.759998676990446e-12,0.0013787190167435196,0.00072601076930677
"(26.307, 26.728]",6.471805082954427e-07,3.041674562484343e-07,1.4249512732243732e-11,3.0382634318827017e-12,0.0017305606791820137,0.0008133437780083134
"(26.728, 27.172]",6.354858283495977e-07,3.0373483338406495e-07,1.0898034587573172e-11,3.1113771006966767e-12,0.0016980181333501251,0.0008115794748022216
"(27.172, 27.613]",5.528750864367736e-07,2.981223418976203e-07,9.679533932744392e-12,2.676277012428316e-12,0.001477282230959059,0.0007965828975504414
"(27.613, 28.072]",4.6960974669631695e-07,2.556722110548119e-07,1.2301144132578531e-11,2.453758265618159e-12,0.0012557364626659515,0.000683667492360567
"(28.072, 28.537]",3.9158238492171614e-07,2.6180622051474297e-07,5.90031773279375e-12,2.34525294543816e-12,0.0010463081325108256,0.0006995462212153932
"(28.537, 29.02]",4.3473608746880757e-07,1.8078499568778958e-07,6.6072252843689194e-12,4.674665156689568e-13,0.0011624842978915915,0.0004834190784691494
"(29.02, 29.508]",4.902862347317422e-07,3.076965920803789e-07,1.0154769522660749e-11,4.5371434762348815e-12,0.001310044819203215,0.0008221652940387723
"(29.508, 30.008]",4.3109398281350873e-07,1.9826967592766707e-07,6.395609733315098e-12,1.0934626575038757e-12,0.0011527453100433223,0.0005301731134305818
"(30.008, 30.531]",3.653740798506276e-07,1.898342708650406e-07,4.344823915741718e-12,1.0329065646463139e-12,0.000976279541360877,0.0005072371717513885
"(30.531, 31.055]",4.335030887960708e-07,2.0651716660685457e-07,9.435653352207068e-12,2.1501285715156045e-12,0.0011591872594406932,0.0005522269035067291
"(31.055, 31.61]",3.4061802535041957e-07,2.3539449587265034e-07,4.425791837151436e-12,2.8950534564876145e-12,0.000910131363736321,0.0006289740929717217
"(31.61, 32.159]",2.768803887568631e-07,1.238049592598091e-07,3.3489670524475324e-12,2.162885341156278e-13,0.0007398243987583382,0.0003308068511422099
"(32.159, 32.722]",4.0973303715787366e-07,1.761664009074446e-07,8.17707046153966e-12,1.1002863655357669e-12,0.0010956261413601542,0.0004710689560265068
"(32.722, 33.318]",2.536087384437237e-07,1.386615543709862e-07,5.284476491374213e-12,4.1487482081244085e-13,0.0006776425491216297,0.0003705036732792751
"(33.318, 33.942]",3.7065653834961475e-07,1.296505534768272e-07,6.780570429359466e-12,5.325474336881216e-13,0.0009911355835468699,0.00034668557999703597
"(33.942, 34.577]",2.6507426747286525e-07,1.5648946850439867e-07,3.2532031702218374e-12,1.443314880001305e-12,0.0007082784426874959,0.00041813985984375326
"(34.577, 35.243]",3.208254548621016e-07,1.1513496988145725e-07,5.7493296284366506e-12,6.228588148202086e-13,0.0008578872663012596,0.0003078709094630167
"(35.243, 35.953]",2.379584016940851e-07,1.1984320056349521e-07,3.0754266111953443e-12,2.2774271142915815e-13,0.0006358248493265954,0.0003202210319056592
"(35.953, 36.688]",3.029881540431308e-07,1.2041336391613723e-07,7.152815824879786e-12,2.518794762849498e-13,0.0008101903239113317,0.00032198533511175096
"(36.688, 37.433]",2.1066107485006203e-07,8.979986378311486e-08,2.4793006697369387e-12,1.8771905855393551e-13,0.0005628863919993658,0.00023994523602848293
"(37.433, 38.256]",1.668305766121605e-07,1.4526448553150934e-07,2.37283797381244e-12,1.160016551817525e-12,0.0004457713007076929,0.00038814670534019296
"(38.256, 39.126]",1.7716436086750043e-07,9.798018926874728e-08,1.890916783140583e-12,4.722170358533287e-13,0.00047373750095969615,0.00026199902610463024
"(39.126, 40.055]",1.8265470400446122e-07,7.593370834601625e-08,2.6276576801814844e-12,1.4864654029056586e-13,0.00048805336909992034,0.00020289486870055543
"(40.055, 41.052]",1.5386461008275165e-07,8.412440492771232e-08,2.127473356146164e-12,1.643962186444689e-13,0.0004114339673612779,0.00022494865877670275
"(41.052, 42.126]",1.1489662399764662e-07,7.428297555588546e-08,1.3968341337576859e-12,1.8123426791187108e-13,0.0003070037793217118,0.00019848411068532594
"(42.126, 43.271]",9.553933459516451e-08,7.752641238436232e-08,1.4778418670905286e-12,3.622673115228315e-13,0.0002554721807074699,0.00020730562671578487
"(43.271, 44.547]",1.0796151779258389e-07,7.824473425219935e-08,1.2687870547650684e-12,3.1698079287983056e-13,0.00028847317554178415,0.00020906992992187666
"(44.547, 45.989]",1.280765287116949e-07,9.937411396587343e-08,1.6485550516301377e-12,4.589005881888041e-13,0.0003422204847176488,0.0002655276325168138
"(45.989, 47.528]",8.794303636877257e-08,1.0325858330342729e-07,9.678568945109933e-13,1.4301378248913372e-12,0.00023515967925009785,0.00027611345175336457
"(47.528, 49.428]",8.216823346337402e-08,7.296238932378083e-08,8.823786663276653e-13,1.6161710291271002e-13,0.00021955351981413538,0.0001949555042731424
"(49.428, 51.466]",1.2471554849884223e-07,6.696962431500235e-08,1.4278717839555546e-12,1.2215509790712466e-13,0.0003334893766859041,0.0001790767754183163
"(51.466, 54.047]",7.42620651587361e-08,9.838367429179496e-08,1.0489264588447214e-12,1.043832673070104e-12,0.00019842823810414285,0.0002628811777076761
"(54.047, 57.445]",2.0896487356113606e-08,3.628895898842492e-08,1.1174128941138614e-13,3.769408695602963e-14,5.587720719024778e-05,9.703667633504824e-05
"(57.445, 61.969]",6.484547393679309e-08,3.2684509244589595e-08,6.800294945646387e-13,3.5349867021449444e-14,0.00017326710635911114,8.73330087015434e-05
"(61.969, 69.585]",2.897864097373465e-08,5.113444221096239e-08,4.810160014081519e-13,2.1194736551873194e-13,7.748888596376645e-05,0.00013673349847211343
"(69.585, 127.43]",3.717012704614671e-08,2.1459526271700243e-08,8.476736616769404e-13,2.7217409851847478e-14,9.931857946730402e-05,5.7339854197983046e-05
