distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(442.513, 452.301]",1.293380690503221e-06,1.2029187105516038e-09,1.0251589060397975e-08,5.582994637316206e-07,1.2697379336976608e-10,1.054678304230428e-20,6.431043735434175e-15,2.7379866175995073e-12
"(452.301, 462.106]",1.4090748299991908e-06,8.95846645206409e-10,1.4197825373199118e-08,5.111463666722207e-07,2.6750062164298494e-10,5.885368385623163e-21,1.7046238591916207e-14,1.836315958051423e-12
"(462.106, 471.922]",2.6213997859775543e-06,6.652591862973487e-10,3.0109374517170176e-08,6.091522656522736e-07,7.574993178004898e-10,3.236358565447488e-21,3.091410637202004e-13,3.7208094438414116e-12
"(471.922, 482.18]",1.995524433651176e-06,4.936584384378737e-10,1.4573824978520385e-08,5.820832054329516e-07,2.918941350727968e-10,1.8992514438099898e-21,1.6208169807588832e-14,3.944370400772261e-12
"(482.18, 492.672]",2.4726630227448994e-06,3.619178680128681e-10,1.543523379747925e-08,6.486391521130983e-07,1.0154268317132886e-09,1.0815265710718513e-21,2.5411387648459068e-14,7.323180646836462e-12
"(492.672, 503.113]",2.178380029212164e-06,2.636393937170253e-10,1.1958554411294241e-08,6.861084426898613e-07,6.457828873504735e-10,5.632265643033744e-22,3.499214685007763e-14,9.959919046666972e-12
"(503.113, 514.191]",4.950911279810293e-06,1.9143094423821903e-10,2.5207045040798963e-08,9.603717620398326e-07,3.1839797555773173e-09,3.4155080884621e-22,1.2514045255377925e-13,4.4438992117957936e-11
"(514.191, 526.672]",4.450951646349221e-06,1.3455383566832814e-10,2.4109499734380594e-08,1.137431130095628e-06,5.474113828991845e-09,2.0489171965026092e-22,1.7121538638651232e-13,8.710000662939867e-11
"(526.672, 540.366]",2.303510211895619e-06,9.120959096817862e-11,6.474243523054598e-09,5.138358699209807e-07,1.2743997795013585e-09,1.149540942533805e-22,2.0435063657470232e-14,2.940218808798305e-12
"(540.366, 555.642]",1.8455209976150217e-06,5.910923585957807e-11,3.427386788604371e-09,4.4187143326700515e-07,2.976128722376195e-10,6.023416553819755e-23,2.975351862372139e-15,4.001046648909201e-12
"(555.642, 572.623]",9.610734903523068e-07,3.6553467834927796e-11,3.010581880481506e-10,3.143549807111746e-07,6.452824879582232e-11,2.8810196350371674e-23,9.463562353902719e-18,1.1249673080185538e-12
"(572.623, 590.3]",9.478940532497386e-07,2.1756235833072755e-11,8.95655825319419e-11,2.7591508071515573e-07,9.51014773743993e-11,1.1113951678531603e-23,7.1799763206898465e-19,8.7761634040201e-13
"(590.3, 608.519]",9.642664255362014e-07,1.2690730251076046e-11,8.008193128128555e-11,2.7511716225723503e-07,8.420574178921706e-11,4.006044782496491e-24,5.483569755126e-19,8.354544518087076e-13
"(608.519, 627.063]",1.4218410798746082e-06,7.303149405537246e-12,5.933608250937406e-11,2.533290269671513e-07,2.628137617480502e-10,1.324196828875266e-24,3.4422948760039806e-19,1.3113050936495076e-12
"(627.063, 646.694]",1.0771523332383394e-06,4.1326480633739885e-12,2.5663046833067058e-11,2.13781342750802e-07,1.6504468178824934e-10,5.005976658125136e-25,6.95016577648061e-20,3.250450010647719e-13
"(646.694, 667.806]",8.213825760569132e-07,2.2396700366952885e-12,2.1663496617507392e-11,1.8698776907846068e-07,1.073303534808672e-10,1.6876968154473165e-25,1.28624886709424e-19,3.547633808213428e-13
