distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(135.009, 137.69]",7.122819589711976e-10,5.605470700900977e-11,3.0259750713023017e-15,4.503106401932181e-18,6.257539465953768e-05,4.924518120155088e-06
"(137.69, 140.64]",7.122657438424848e-10,5.2209913898938086e-11,3.301034697780961e-15,3.3200087308598867e-18,6.257539465953768e-05,4.5868497756767595e-06
"(140.64, 143.744]",1.8598473373136833e-09,4.260233590672528e-11,2.8197854412419678e-14,3.797617799027231e-18,0.0001633913082776817,3.7427004140770374e-06
"(143.744, 147.09]",7.914063820472056e-11,4.2146232589300045e-11,2.751222388587214e-16,7.472366018383157e-19,6.95282162883752e-06,3.702715117899655e-06
"(147.09, 150.402]",1.7015624575423058e-09,5.783603667859886e-11,7.717240643028035e-14,1.5821389415972563e-17,0.00014948566502000666,5.081011494288087e-06
"(150.402, 153.728]",2.3742191461416165e-10,4.688596767641537e-11,1.1004576388770084e-15,3.5438805726865e-17,2.085846488651256e-05,4.11911980424289e-06
"(153.728, 157.088]",4.748546393141319e-10,3.526688964865056e-11,1.92571787038043e-15,4.6470931577839335e-19,4.171692977302512e-05,3.0982667894124696e-06
"(157.088, 160.853]",5.144141483306835e-10,3.4406282872390175e-11,2.6134561457006568e-15,1.791668835606637e-18,4.5193340587443874e-05,3.0227295754700238e-06
"(160.853, 164.899]",5.144258592569762e-10,4.2570333488682266e-11,2.6135156371423414e-15,7.595514380173592e-18,4.519334058744388e-05,3.7398889376464098e-06
"(164.899, 169.036]",5.539844674330438e-10,4.491715653842562e-11,3.3012351237695502e-15,6.39915872314506e-18,4.866975140186264e-05,3.9461518705253795e-06
"(169.036, 173.661]",1.582848797713773e-10,6.503463929916832e-11,5.502444770050996e-16,1.1932983792775333e-17,1.390564325767504e-05,5.713423131709576e-06
"(173.661, 178.547]",3.561328719212425e-10,3.277605903015192e-11,1.513079929872614e-15,3.7109011106911075e-18,3.128769732976884e-05,2.879507890033182e-06
"(178.547, 183.5]",5.539970791998205e-10,2.037664429987645e-11,2.4759059750099795e-15,1.1713278068631223e-18,4.866975140186264e-05,1.7901289550314073e-06
"(183.5, 188.338]",7.518360629448451e-10,1.1644555637282925e-11,4.814183524092398e-15,2.1153966371131806e-19,6.605180547395644e-05,1.0230207909582617e-06
