distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(41.811, 44.358]",3.454626809976273e-08,1.8013322775415138e-07,9.514961258675571e-08,3.1446796631144695e-08,8.421142523029681e-13,1.1040708432507381e-17,5.783223986517359e-13,2.529972893268271e-13
"(44.358, 46.832]",3.3904255367988013e-08,1.6902570175764542e-07,9.424773159668761e-08,2.663468427978939e-08,3.806648679741111e-13,9.106170032444993e-18,3.0771628413495596e-13,9.920394938322542e-14
"(46.832, 49.227]",2.3520423251155824e-08,1.591303605524725e-07,8.942824472757756e-08,2.383738503457283e-08,2.179160885464324e-13,7.5573052856639e-18,2.1243380077366127e-13,1.1073561199735688e-13
"(49.227, 51.555]",2.6147594537784477e-08,1.4995688809417338e-07,8.824800966058202e-08,1.8223485667790578e-08,3.891565333548865e-13,6.343933928915683e-18,6.145332813588139e-13,5.50362010700713e-14
"(51.555, 53.764]",2.4813322506386463e-08,1.4174208939790308e-07,8.059260055449316e-08,1.5023046575650857e-08,2.987897307975508e-13,5.09180771061113e-18,4.474697104875205e-13,2.1113471151598358e-14
"(53.764, 55.987]",2.4368037110121948e-08,1.3407015368674454e-07,8.016331351648825e-08,1.3807523071044682e-08,3.106239121382677e-13,4.646900318054692e-18,2.3550404868658618e-12,1.9754952059062265e-14
"(55.987, 58.084]",2.1637961935540008e-08,1.2700030089682616e-07,8.300587318686711e-08,1.1909704998830526e-08,2.168754769058297e-13,3.689370691639472e-18,3.4243944278760765e-13,1.367660150647988e-14
"(58.084, 60.03]",2.2475760652929463e-08,1.2076413639184456e-07,9.157829447203646e-08,1.1493692889081694e-08,2.3377220957114393e-13,2.8735140726545102e-18,4.1158923129829245e-13,1.721481046705117e-14
"(60.03, 61.847]",2.6157937731826337e-08,1.1520127944901852e-07,1.0987053303557474e-07,9.423369089552412e-09,3.612030590501798e-13,2.2925644339853404e-18,1.943707258238504e-12,1.7590697324888437e-14
"(61.847, 63.57]",2.8816138600580528e-08,1.1022993107261419e-07,1.1408139843838736e-07,9.198815872502157e-09,2.9121902452456586e-13,1.8648386673475164e-18,5.831305298661485e-13,2.4066404882742124e-14
"(63.57, 65.258]",2.966363770451178e-08,1.0563783701427903e-07,1.1020497773884052e-07,7.835571055592372e-09,3.726405647814931e-13,1.6669486499143776e-18,4.382058497884336e-13,5.203096697811021e-15
"(65.258, 66.947]",2.373763032603457e-08,1.0127915184791124e-07,9.176219515660521e-08,6.7578913014164865e-09,2.5300744069688145e-13,1.5172752487776453e-18,2.4689311331882e-13,6.716634704556194e-15
"(66.947, 68.708]",2.2723997309933747e-08,9.701617792090918e-08,8.063435600304977e-08,5.810265628647267e-09,3.6188435989606897e-13,1.5279746757613474e-18,1.571110894020608e-12,7.798050675464267e-15
"(68.708, 70.5]",1.3870223210114319e-08,9.278889363576675e-08,6.289166172650085e-08,4.282315639744179e-09,1.5491627928602206e-13,1.443351217712016e-18,1.571140759584778e-13,2.9110615267439906e-15
"(70.5, 72.284]",1.3828850433946936e-08,8.870867172314231e-08,5.360050077836387e-08,3.6694737034329047e-09,2.0566913038097427e-13,1.3043095037628565e-18,2.462943789452447e-13,3.943187423682089e-15
"(72.284, 73.955]",1.1749613818802438e-08,8.496451920056992e-08,5.1351934468912875e-08,2.882272044186371e-09,1.2960181938872925e-13,1.050272013974354e-18,8.930081712203165e-13,8.044125270248611e-16
"(73.955, 75.584]",1.027079168355221e-08,8.155288545922128e-08,4.8876585614859355e-08,2.6297322419387817e-09,1.0419222582713351e-13,9.165918987692682e-19,2.0624270107759774e-13,4.088341875105819e-16
"(75.584, 77.263]",9.153726727032937e-09,7.82428822789314e-08,4.052358278912954e-08,2.358746406581304e-09,8.72308636621536e-14,9.003665689069065e-19,1.7151360194494492e-13,7.98914608131983e-16
"(77.263, 78.964]",7.633277202881704e-09,7.500228869291174e-08,4.150846251134798e-08,2.2469679862147922e-09,5.199678872420691e-14,8.493293581964787e-19,2.9517915835515293e-13,2.322096374601957e-15
"(78.964, 80.601]",9.10181352160752e-09,7.192756118701233e-08,3.602752009256794e-08,1.8404286072419255e-09,1.6656476633611317e-13,7.232831309545012e-19,3.0828056898796624e-13,5.594974731126829e-16
"(80.601, 82.152]",8.440046338145624e-09,6.911628002304691e-08,3.88654806863762e-08,1.90258748527008e-09,1.1871145206239874e-13,5.987620714370119e-19,1.2880284734273629e-12,9.594733524427494e-16
