distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(55.987, 58.084]",1.0624915130219585e-08,1.1909704998830632e-08,3.0691458995187635e-13,1.3676601506479875e-14,0.000980615917028484,0.0010991943131620646
"(58.084, 60.03]",1.0581782863114496e-08,1.149369288908153e-08,1.6911276507769666e-13,1.721481046705123e-14,0.0009766350675682871,0.0010607988915049059
"(60.03, 61.847]",8.612075998648907e-09,9.423369089552295e-09,1.4226921220746365e-13,1.759069732488842e-14,0.0007948429422192989,0.0008697204267511504
"(61.847, 63.57]",1.1990770255213987e-08,9.198815872502195e-09,1.843817767295542e-13,2.406640488274203e-14,0.0011066761499347166,0.0008489955121367141
"(63.57, 65.258]",1.434835659644486e-08,7.835571055592419e-09,3.424715655022181e-13,5.203096697810983e-15,0.0013242959204254764,0.0007231918661469536
"(65.258, 66.947]",7.059314382865775e-09,6.757891301416449e-09,1.0165671471457586e-13,6.716634704556209e-15,0.0006515323616522133,0.0006237128197729332
"(66.947, 68.708]",5.578439878924471e-09,5.8102656286472456e-09,5.0831694420690207e-14,7.798050675464242e-15,0.0005148565301854557,0.0005362526559303709
"(68.708, 70.5]",6.067272239448783e-09,4.282315639744177e-09,1.326338580311895e-13,2.9110615267439787e-15,0.0005599728240676864,0.00039523203965454926
"(70.5, 72.284]",7.001804693392333e-09,3.669473703432954e-09,2.042989104594306e-13,3.94318742368207e-15,0.000646224562371951,0.0003386704059846365
"(72.284, 73.955]",4.7588236807848176e-09,2.882272044186387e-09,1.2831446277952155e-13,8.04412527024862e-16,0.0004392203904417161,0.00026602218059022526
"(73.955, 75.584]",2.458539224989909e-09,2.629732241938765e-09,1.4169150799138197e-14,4.08834187510578e-16,0.00022690841923121892,0.00024270850753749793
"(75.584, 77.263]",4.313226710508609e-09,2.3587464065813067e-09,1.303245104779996e-13,7.989146081319876e-16,0.00039808494601968223,0.00021769814084901488
"(77.263, 78.964]",1.667780994729998e-09,2.246967986214792e-09,9.154814350284236e-15,2.3220963746019714e-15,0.00015392617912761048,0.00020738166331970805
"(78.964, 80.601]",1.926532849622858e-09,1.8404286072419284e-09,4.219662826342949e-14,5.594974731126404e-16,0.0001778112758887914,0.00016986419873400076
"(80.601, 82.152]",2.45853922498991e-09,1.902587485270084e-09,3.969594929753709e-14,9.594733524427628e-16,0.00022690841923121892,0.00017559740936551676
"(82.152, 83.605]",2.3435198460430117e-09,1.568711246430491e-09,6.228523812240303e-14,2.2101428905407137e-16,0.00021629282067069404,0.00014478263577805725
"(83.605, 84.996]",2.127858510517582e-09,1.4269050650498776e-09,2.0867159431594732e-14,1.2853470246815566e-16,0.00019638857336970992,0.00013169477607371342
"(84.996, 86.337]",4.457000934192231e-09,1.4364947326186626e-09,1.376874828803537e-13,4.385684382661294e-16,0.00041135444422033836,0.00013257984485230792
"(86.337, 87.635]",5.031988786328357e-09,1.3575976639170014e-09,1.147473932959251e-13,5.393543173023131e-17,0.00046443243702296266,0.00012530083398888442
"(87.635, 88.948]",5.103984940768526e-09,1.3998391615209994e-09,1.0293966766210535e-13,8.910537470054148e-17,0.0004710671861232907,0.0001291967555734186
"(88.948, 90.32]",2.1997456223593936e-09,1.325363158400733e-09,9.629715059091275e-15,4.344814664917398e-17,0.00020302332247003796,0.00012232306734143682
"(90.32, 91.756]",5.1183623631368826e-09,1.497045262500799e-09,1.3569700426382631e-13,1.8029289618412925e-15,0.0004723941359433562,0.000138168295457248
"(91.756, 93.329]",2.2572553118328396e-09,1.1452423004167664e-09,1.0316278426110562e-14,6.408027775390414e-17,0.0002083311217503004,0.00010569899287466523
"(93.329, 95.065]",3.694917480246822e-09,1.0043404922369451e-09,4.232023264846328e-14,1.681861428807521e-16,0.0003410261037568611,9.269661007150061e-05
"(95.065, 96.929]",2.803597361830597e-09,7.850083817949576e-10,6.338941285835804e-14,3.4916177592847234e-16,0.00025875521491279345,7.245156358938404e-05
"(96.929, 98.827]",1.7540455289401704e-09,6.379563741935759e-10,1.209258117435433e-14,1.1212771335538653e-16,0.00016188787804800411,5.8879545599822107e-05
"(98.827, 100.812]",2.0415939763074105e-09,4.920759693282253e-10,1.2511212876507111e-14,2.851501695107319e-17,0.00018842687444931624,4.5415659513179174e-05
"(100.812, 102.885]",1.6821219657154818e-09,4.963821027650008e-10,1.8216575742388038e-14,2.977503004831292e-17,0.00015525312894767608,4.581408255679848e-05
"(102.885, 105.005]",1.32272285788931e-09,4.723158888004123e-10,9.575569403377893e-15,4.625878821670248e-17,0.0001220793834460359,4.359192264094522e-05
"(105.005, 107.241]",1.6965358394667223e-09,4.417374344817954e-10,9.078404309887677e-15,2.912144336223639e-17,0.00015658007876774167,4.0769714778063115e-05
"(107.241, 109.566]",1.3083454355209476e-09,4.4295799064286686e-10,5.8934905574631876e-15,1.2433071228613098e-17,0.0001207524336259703,4.088236478839303e-05
"(109.566, 111.942]",1.926574597360514e-09,4.4472351642974336e-10,1.422871852407681e-14,1.0292459986988124e-16,0.00017781127588879144,4.104531222536658e-05
"(111.942, 114.296]",1.6964990765335625e-09,4.297620879178879e-10,9.383454227494166e-15,1.0078400693586476e-17,0.00015658007876774173,3.966532166646974e-05
"(114.296, 116.81]",2.3147650013062897e-09,3.437267433687704e-10,5.427247568220957e-14,1.1277630635984652e-17,0.00021363892103056281,3.1723916052477235e-05
"(116.81, 119.416]",1.2508357460474995e-09,3.3127631547257065e-10,4.9397214999165325e-15,6.417122069625709e-18,0.00011544463434570785,3.0574816260225484e-05
"(119.416, 122.267]",1.3371002802576716e-09,3.19971832374902e-10,1.1578755258958514e-14,7.62281220195704e-17,0.00012340633326610151,2.9531480297209033e-05
"(122.267, 125.3]",8.626453421017237e-10,2.4181199236212797e-10,2.899161195007962e-15,2.4308368070265175e-17,7.961698920393647e-05,2.2317796023070495e-05
"(125.3, 128.45]",5.607073219051607e-10,2.338040739980622e-10,1.0871265489426745e-15,1.2827008030796974e-17,5.17510429825587e-05,2.1579180813725366e-05
"(128.45, 131.832]",7.188711184181028e-10,1.864743883667397e-10,4.5401245061733865e-15,1.7041416854897611e-18,6.634749100328037e-05,1.721046719991992e-05
"(131.832, 135.631]",6.757388513130169e-10,2.1229811314166354e-10,1.850140871567718e-15,2.8308739984430325e-18,6.236664154308354e-05,1.959384205429688e-05
"(135.631, 139.384]",1.452119659204568e-09,2.1331765599459583e-10,9.59428866847012e-15,6.8335397808070815e-18,0.00013402193182662637,1.968793974236543e-05
"(139.384, 143.272]",2.77478238788964e-09,1.2676302595198502e-10,4.949948036603552e-14,9.620075854312542e-19,0.00025610131527266226,1.1699720243264455e-05
"(143.272, 147.061]",4.457000934192238e-10,1.1869489143450432e-10,1.2398924571940707e-15,2.2519667579002368e-18,4.113544442203384e-05,1.0954826310056066e-05
"(147.061, 150.293]",4.8883236052431e-10,1.1330833004244901e-10,1.2207738235139805e-15,3.638161759365677e-18,4.511629388223066e-05,1.0457679012937714e-05
"(150.293, 153.272]",6.613614289446546e-10,9.641297233864545e-11,2.7849980079567923e-15,2.025344616449596e-18,6.103969172301793e-05,8.89833886902288e-06
"(153.272, 156.045]",4.4570009341922386e-10,1.2498739323725914e-10,1.278049106669088e-15,7.782832207444259e-18,4.1135444422033834e-05,1.1535586471439585e-05
"(156.045, 158.711]",9.6326642481143e-10,2.1694652112131791e-10,4.44422544452348e-15,2.4012702722847626e-17,8.890563794439572e-05,2.002329611341317e-05
"(158.711, 161.29]",1.624648727624912e-09,1.4960614893234902e-10,4.2751886223927914e-14,3.544859557125008e-18,0.00014994532966741366,1.3807749909562218e-05
"(161.29, 163.775]",1.897819752623792e-09,1.5922134526934455e-10,3.1208537511215736e-14,1.5372142570649435e-18,0.0001751573762486602,1.4695174840288996e-05
"(163.775, 166.469]",5.607194723661203e-10,9.275718323314828e-11,2.9186692750632784e-15,3.770730325404651e-19,5.17510429825587e-05,8.560931469320156e-06
"(166.469, 169.635]",7.763808078915512e-10,7.578279066191874e-11,1.8085649077177345e-14,1.5556496463503589e-18,7.165529028354281e-05,6.994296881351058e-06
"(169.635, 173.203]",3.8818199208818806e-10,7.77595261182813e-11,7.0573203182362855e-16,1.9449421493641767e-18,3.5827645141771406e-05,7.176893222612806e-06
"(173.203, 177.066]",6.182291618395685e-10,7.920409073473176e-11,1.2397088964796013e-15,9.461783410124585e-19,5.7058842262821135e-05,7.310062350271322e-06
"(177.066, 181.251]",6.038517394712066e-10,3.6584990730615266e-11,1.1443348433585115e-15,1.4785533683216103e-19,5.573189244275551e-05,3.3765751344913797e-06
"(181.251, 185.671]",9.776647210486202e-10,1.979643385731794e-11,5.8751681803930925e-15,2.4098309800692895e-20,9.02325877644613e-05,1.8270920664273079e-06
"(185.671, 190.323]",1.5239737467165907e-09,1.8815527195823987e-11,3.1646107574278684e-15,6.341391028902426e-20,0.0001406566809269544,1.7365978980658289e-06
"(190.323, 194.902]",5.319646276293964e-10,2.0336702068529258e-11,1.0108682216386774e-15,4.288103164381951e-20,4.909714334242749e-05,1.8769555807128754e-06
"(194.902, 199.511]",7.476259631548271e-10,3.092557419684123e-11,1.8691168736084403e-15,1.1469568609633174e-19,6.900139064341159e-05,2.854244944923279e-06
"(199.511, 204.389]",1.1933260565740515e-09,2.1786986699463133e-11,6.046404899210972e-15,2.643012067606016e-20,0.00011013683506544543,2.0108081504402814e-06
"(204.389, 209.894]",1.538384193414739e-09,1.1196407970703292e-11,2.871051207780036e-14,7.811764361351491e-21,0.00014198363074701997,1.0333612772480948e-06
"(209.894, 216.791]",1.1501688654464833e-09,9.894660637452305e-12,3.960442099068279e-14,8.474258281864336e-21,0.00010615598560524862,9.132375981942816e-07
"(216.791, 224.97]",1.1358163671006032e-09,8.985455335126976e-12,4.939996014154909e-15,1.1526364395069225e-20,0.00010482903578518301,8.29303614700202e-07
