year,pkt_inland_yr_capita,country,gdp_capita,tw
2013,13.358154072439786,Finland,45.715410583574645,0
2014,13.37850210584142,Finland,45.24361163874376,0
2015,13.47108191935778,Finland,45.30421053269249,0
2016,11.870134594397985,Finland,46.41604293429153,0
2017,13.572854291417165,Finland,47.53484641158025,0
2018,13.54336411370632,Finland,48.53633208570976,0
1980,8.939277493131359,France,27.65518248528231,0
1981,9.187413388518301,France,27.822562630205926,0
1982,9.226397749627697,France,28.378922678355565,0
1983,9.411632373113855,France,28.5861835383802,0
1984,9.529336850723187,France,28.86884826921109,0
1985,9.52968962084879,France,29.18348470302461,0
1986,9.983382842740102,France,29.71371176734517,0
1987,10.296267774633762,France,30.31959371096408,0
1988,10.651302426682822,France,31.591964779859158,0
1989,10.825154244379851,France,32.804749517709354,0
1990,11.384933029805707,France,33.603996521757594,0
1991,11.46851389816216,France,33.80582384304615,0
1992,11.677620872486745,France,34.206567875391535,0
1993,11.736203590726863,France,33.864853759042184,0
1994,11.859221699341887,France,34.52851220965133,0
1995,12.010328362340404,France,35.117349353720456,0
1996,12.027632214024683,France,35.47589443374862,0
1997,12.186874151938287,France,36.17475851040647,0
1998,12.48817671617275,France,37.31826720610762,0
1999,12.716084082856385,France,38.41881948259495,0
2000,12.658713886300093,France,39.697306994249345,0
2001,12.981914320355672,France,40.221674622478346,0
2002,12.996438305770614,France,40.386578021012745,0
2003,12.931736705835512,France,40.41413109212149,0
2004,12.806402187880984,France,41.2350088694747,0
2005,12.553828534031414,France,41.60866862192204,0
2006,12.451494903184903,France,42.32745665268504,0
2007,12.464691525642891,France,43.07490770569672,0
2008,12.162388078895358,France,42.92314704765395,0
2009,12.106502726124427,France,41.43815070856251,0
2010,12.14918893129771,France,42.026234401091365,0
2011,12.092768340134763,France,42.715414809372135,0
2012,12.050563211880958,France,42.6186245973547,0
2013,12.034447678968291,France,42.64286234818606,0
2014,12.122815216375361,France,42.8494179691151,0
2015,12.336384652382355,France,43.15218974970133,0
2016,12.572261396672232,France,43.512373264935896,0
2017,12.576099193436454,France,44.33277556583787,0
2018,12.549152959640566,France,44.9947667032743,0
1980,6.797133477255598,Germany,26.066247683185527,0
1981,6.566548881036513,Germany,26.262911684582562,0
1982,6.756409927366989,Germany,26.220311815757096,0
1983,6.886974411726888,Germany,26.686023792111357,0
1984,7.026080687932854,Germany,27.47044025944717,0
1985,6.9286413015497095,Germany,28.10631707676627,0
1986,7.246227797342107,Germany,28.70708238378949,0
1987,7.489489335520918,Germany,29.03124501804918,0
1988,7.8229555090156815,Germany,29.995232916416583,0
1989,7.981184846173404,Germany,31.024556338196035,0
1990,8.219697927998583,Germany,32.492148118295724,0
1991,9.689147199053982,Germany,33.964180595130266,0
1992,9.867063516876556,Germany,34.4132488912841,0
1993,9.942931032339082,Germany,33.88671814290399,0
1994,10.832209617359247,Germany,34.54591202888981,0
