d,y,region,type
4.470770203555416,0.04409416743599676,sweden,pdf
4.640468751338712,0.04061288269953828,sweden,pdf
4.816608604715584,0.040787045248836945,sweden,pdf
4.999434258516968,0.03848153321103878,sweden,pdf
5.18919948794739,0.039770061222962935,sweden,pdf
5.386167700843275,0.03504445722480167,sweden,pdf
5.590612303302045,0.03680833974192824,sweden,pdf
5.802817079189497,0.03007896868288737,sweden,pdf
6.023076584052317,0.029583208152758857,sweden,pdf
6.251696553982424,0.027462381200615893,sweden,pdf
6.488994330000737,0.026813422280058317,sweden,pdf
6.735299298549434,0.026007870288269657,sweden,pdf
6.990953348704085,0.024327020117821792,sweden,pdf
7.256311346740397,0.023501422438145105,sweden,pdf
7.53174162871419,0.02252890829680568,sweden,pdf
7.817626511738448,0.021438723058941227,sweden,pdf
8.114362824667078,0.020261371995731334,sweden,pdf
8.422362458921977,0.017966761689211755,sweden,pdf
8.742052940228074,0.018539883460711063,sweden,pdf
9.073878022049911,0.017149844967548355,sweden,pdf
9.418298301553442,0.017312831691573684,sweden,pdf
9.7757918589482,0.017836108567518518,sweden,pdf
10.146854921097088,0.01604092145326654,sweden,pdf
10.532002550315115,0.01709376981046156,sweden,pdf
10.931769359313051,0.014814399081564351,sweden,pdf
11.346710253278497,0.014349985318070203,sweden,pdf
11.77740120012428,0.013334328881625685,sweden,pdf
12.224440029973538,0.013912920803775566,sweden,pdf
12.688447264991067,0.013821806945092491,sweden,pdf
13.17006698071287,0.012633714895872969,sweden,pdf
13.669967700069538,0.01313273296449343,sweden,pdf
14.188843321344269,0.011456777771457127,sweden,pdf
14.727414081353809,0.01057047919129471,sweden,pdf
15.286427555189142,0.011389449024349522,sweden,pdf
15.866659693903658,0.011501611586894177,sweden,pdf
16.46891590158929,0.01131660542968835,sweden,pdf
17.094032153335444,0.009817169496890465,sweden,pdf
17.74287615562281,0.009438767397787987,sweden,pdf
18.4163485507626,0.00928606557801302,sweden,pdf
19.115384167053048,0.007948226864917841,sweden,pdf
19.840953316388664,0.007431654816523728,sweden,pdf
20.594063141123048,0.0077050535169775145,sweden,pdf
21.375759012055273,0.00720916759477404,sweden,pdf
22.18712597947998,0.006456569904411847,sweden,pdf
23.029290279315486,0.0056272149921529286,sweden,pdf
23.90342089640064,0.005598151171105359,sweden,pdf
24.810731187130017,0.005105970790478286,sweden,pdf
25.752480563680255,0.0043149081376332,sweden,pdf
26.729976242165073,0.004539160289759301,sweden,pdf
27.744575057145568,0.004591778331073887,sweden,pdf
28.79768534501451,0.004326169760953774,sweden,pdf
29.890768898869037,0.004323677141625529,sweden,pdf
31.025342997584804,0.0036816792489083655,sweden,pdf
32.202982511908715,0.003884729326846091,sweden,pdf
33.425322090493154,0.003526204962032718,sweden,pdf
34.694058428906295,0.0046916824784683465,sweden,pdf
36.010952624768144,0.004640042147856428,sweden,pdf
37.37783262228097,0.0036051506621247813,sweden,pdf
38.796595749547926,0.0030034189142009392,sweden,pdf
