distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(209.894, 216.791]",8.037511181711201e-11,1.048804227712309e-09,6.771368752029264e-10,9.894660637452129e-12,7.452519706371817e-17,3.9030403282530095e-21,1.732011537258955e-17,8.474258281866721e-21
"(216.791, 224.97]",2.1098924053258555e-10,8.366037711229956e-10,6.961188597474957e-10,8.9854553351269e-12,2.328719593141622e-16,3.4718697576010505e-21,3.3287381220753775e-17,1.1526364395067e-20
"(224.97, 234.117]",2.511776673006971e-10,6.44692588551123e-10,5.304047789179923e-10,1.332475422945416e-11,2.328533853519843e-16,2.629800150805754e-21,3.6220656207789784e-17,2.4658930834095e-20
"(234.117, 243.933]",1.8084792045650184e-10,4.855295897804492e-10,5.16467684872546e-10,7.797046020498578e-12,1.6766715657970273e-16,1.704725153228854e-21,2.1918503431073583e-17,1.5386439533795082e-20
"(243.933, 254.078]",2.1098924053258555e-10,3.590060817665585e-10,4.943527148472131e-10,3.921748259266692e-12,2.3287195931416223e-16,9.902627917191197e-22,1.8807033699788022e-17,1.74053070810217e-21
"(254.078, 264.795]",3.7173489215414306e-10,2.634990910692383e-10,3.0473479988855124e-10,6.494827849557482e-12,3.445707266496705e-16,5.866691164490219e-22,7.330174534188391e-18,3.862657306405705e-21
"(264.795, 277.455]",2.1098924053258552e-10,1.8582852511345058e-10,1.409538795358822e-10,3.011920157076155e-12,2.1423864121367244e-16,4.1055201119511284e-22,1.3156915251058588e-18,8.249245145149763e-22
"(277.455, 291.861]",2.411305606086692e-10,1.2421682016021854e-10,8.733304723403224e-11,2.954752521363234e-12,2.235416726286238e-16,2.3702535667570425e-22,4.9430424139546355e-19,8.58705348322744e-22
"(291.861, 312.377]",4.018842676811153e-10,7.546845115356188e-11,4.261899126344974e-11,1.9336746413454856e-12,4.656714397976521e-16,1.756223369302659e-22,6.222619015506896e-20,4.315410622005794e-22
"(312.377, 348.792]",5.023444488569501e-10,3.462531847767529e-11,2.3923755770548948e-11,7.672735878355567e-13,4.655705053974887e-16,1.0325000292835154e-22,1.1383220906130871e-20,9.650734408954369e-23
"(348.792, 444.055]",8.841453888984534e-10,6.63008510548944e-12,6.359689976643732e-12,1.1134437150649988e-14,1.1172173644907644e-15,2.3612358580387885e-23,1.3680655134172792e-21,4.838871342000587e-26
"(444.055, 1442.945]",2.4012584993946634e-09,2.1043387323432796e-13,4.745666609315337e-13,3.479307743890003e-18,3.991080627698719e-15,7.854767855927276e-26,1.3202833526953691e-23,1.2219091114765045e-31
