distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(24.694, 25.083]",6.371209514706336e-07,5.063354013322543e-07,9.493995943880867e-12,3.0377617886061186e-12,0.0017036614242324744,0.0013539408631624479
"(25.083, 25.48]",5.276429913075436e-07,5.511366078216404e-07,9.51147890440349e-12,6.039890723295804e-12,0.0014098620727737566,0.0014726370160994232
"(25.48, 25.903]",6.889606411469148e-07,4.7247939381375284e-07,1.281280708761129e-11,5.139627070575011e-12,0.0018422807544268504,0.001263409899057975
"(25.903, 26.307]",5.159876559668861e-07,4.372576297710623e-07,9.099322735035383e-12,4.502624947395921e-12,0.0013787190167435196,0.0011683523867482785
"(26.307, 26.728]",6.471805082954427e-07,4.6288685835017737e-07,1.4249512732243732e-11,5.386230644854989e-12,0.0017305606791820137,0.0012377594592283742
"(26.728, 27.172]",6.354858283495977e-07,5.097260703487029e-07,1.0898034587573172e-11,9.750457817135015e-12,0.0016980181333501251,0.0013619880599717341
"(27.172, 27.613]",5.528750864367736e-07,4.7528003235985037e-07,9.679533932744392e-12,6.8313865816918335e-12,0.001477282230959059,0.0012699482464655202
"(27.613, 28.072]",4.6960974669631695e-07,4.0062942230226644e-07,1.2301144132578531e-11,3.7540942275350976e-12,0.0012557364626659515,0.0010712830752362605
"(28.072, 28.537]",3.9158238492171614e-07,4.114701587083695e-07,5.90031773279375e-12,5.914891742644738e-12,0.0010463081325108256,0.0010994482640687632
"(28.537, 29.02]",4.3473608746880757e-07,3.1260380275416283e-07,6.6072252843689194e-12,1.161262097891428e-12,0.0011624842978915915,0.0008359025685646315
"(29.02, 29.508]",4.902862347317422e-07,5.010675034225433e-07,1.0154769522660749e-11,1.2435402315230073e-11,0.001310044819203215,0.0013388523691450355
"(29.508, 30.008]",4.3109398281350873e-07,3.293437175827552e-07,6.395609733315098e-12,1.6652299599461182e-12,0.0011527453100433223,0.0008806651008162875
"(30.008, 30.531]",3.653740798506276e-07,2.987205589525079e-07,4.344823915741718e-12,1.4607782203540732e-12,0.000976279541360877,0.0007981813335211012
"(30.531, 31.055]",4.335030887960708e-07,3.062087791117793e-07,9.435653352207068e-12,2.092830041123633e-12,0.0011591872594406932,0.0008188022753448978
"(31.055, 31.61]",3.4061802535041957e-07,3.529307170988988e-07,4.425791837151436e-12,3.1608232220901766e-12,0.000910131363736321,0.0009430308760882576
"(31.61, 32.159]",2.768803887568631e-07,2.1797001088027989e-07,3.3489670524475324e-12,4.502436138855246e-13,0.0007398243987583382,0.0005824158690721079
"(32.159, 32.722]",4.0973303715787366e-07,3.112871802395545e-07,8.17707046153966e-12,4.813562994591436e-12,0.0010956261413601542,0.0008323819199605688
"(32.722, 33.318]",2.536087384437237e-07,2.254991995117231e-07,5.284476491374213e-12,6.897284094094147e-13,0.0006776425491216297,0.0006025338610953241
"(33.318, 33.942]",3.7065653834961475e-07,2.3586351904555968e-07,6.780570429359466e-12,8.808523896243964e-13,0.0009911355835468699,0.0006306990499278266
"(33.942, 34.577]",2.6507426747286525e-07,2.4865145455341086e-07,3.2532031702218374e-12,1.7247693507679501e-12,0.0007082784426874959,0.0006643966865667138
"(34.577, 35.243]",3.208254548621016e-07,2.1272858057458375e-07,5.7493296284366506e-12,1.267975087284682e-12,0.0008578872663012596,0.0005688362244564369
"(35.243, 35.953]",2.379584016940851e-07,1.9350014782808957e-07,3.0754266111953443e-12,4.337984502470551e-13,0.0006358248493265954,0.0005170323949966553
"(35.953, 36.688]",3.029881540431308e-07,1.818819959466158e-07,7.152815824879786e-12,3.4951457820999256e-13,0.0008101903239113317,0.00048635245716125065
"(36.688, 37.433]",2.1066107485006203e-07,1.5886588012345098e-07,2.4793006697369387e-12,3.9145656661749563e-13,0.0005628863919993658,0.000424489631689861
"(37.433, 38.256]",1.668305766121605e-07,2.4563977910083357e-07,2.37283797381244e-12,2.8146146381949716e-12,0.0004457713007076929,0.0006563494897574273
"(38.256, 39.126]",1.7716436086750043e-07,1.8075346236266577e-07,1.890916783140583e-12,6.326924039778184e-13,0.00047373750095969615,0.00048333475835776827
"(39.126, 40.055]",1.8265470400446122e-07,1.4757209717628622e-07,2.6276576801814844e-12,3.147978180453195e-13,0.00048805336909992034,0.0003943126436550368
"(40.055, 41.052]",1.5386461008275165e-07,1.5310438955588962e-07,2.127473356146164e-12,4.128161550729538e-13,0.0004114339673612779,0.00040940113767244885
"(41.052, 42.126]",1.1489662399764662e-07,1.3966644911327087e-07,1.3968341337576859e-12,3.4775407058707073e-13,0.0003070037793217118,0.0003731887520306598
"(42.126, 43.271]",9.553933459516451e-08,1.3448358542071388e-07,1.4778418670905286e-12,6.275998265525561e-13,0.0002554721807074699,0.0003596091074149889
"(43.271, 44.547]",1.0796151779258389e-07,1.3891353025012654e-07,1.2687870547650684e-12,2.9890642663127226e-13,0.00028847317554178415,0.0003711769528283381
"(44.547, 45.989]",1.280765287116949e-07,1.6018348813395354e-07,1.6485550516301377e-12,6.371757301274809e-13,0.0003422204847176488,0.00042801028029392386
